['Cake-LP', 'BLP', 'ETH', 'BETH', '0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0x250632378E573c6Be1AC2f97Fcdf00515d0Aa91B']
['Cake-LP', 'BLP', 'FAN', 'WBNB', '0xB0228Eb6c0b49f8265e6E161c3a987eeD7471F42', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BLP', 'WBNB', 'pCWS', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xbcf39F0EDDa668C58371E519AF37CA705f2bFcbd']
['Cake-LP', 'BLP', 'AUTO', 'WBNB', '0xa184088a740c695E156F91f5cC086a06bb78b827', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BLP', 'WBNB', 'DFY', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xD98560689C6e748DC37bc410B4d3096B1aA3D8C2']
['Cake-LP', 'BLP', 'TSA', 'WBNB', '0x5f99ACF13CAff815DD9cB4A415c0fB34e9F4545b', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BLP', 'SACT', 'BUSD', '0x1bA8c21c623C843Cd4c60438d70E7Ad50f363fbb', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BLP', 'XBN', 'BUSD', '0x547CBE0f0c25085e7015Aa6939b28402EB0CcDAC', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BLP', 'USDT', 'TSA', '0x55d398326f99059fF775485246999027B3197955', '0x5f99ACF13CAff815DD9cB4A415c0fB34e9F4545b']
['Cake-LP', 'BLP', 'SFUND', 'WBNB', '0x477bC8d23c634C154061869478bce96BE6045D12', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BLP', 'CCAKE', 'BUSD', '0xc7091AA18598b87588e37501b6Ce865263CD67Ce', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BLP', 'TKO', 'WBNB', '0x9f589e3eabe42ebC94A44727b3f3531C0c877809', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BLP', 'TKO', 'BUSD', '0x9f589e3eabe42ebC94A44727b3f3531C0c877809', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
